sim_idx,converged,gen_beta,matlab_beta,gen_lam,matlab_lam,gen_gamma,matlab_gamma,gen_alpha,matlab_alpha,gen_kappa,matlab_kappa,our_beta,our_lam,our_gamma,our_alpha,our_kappa
103,True,2.1558699380887756,1.9945258908952743,0.10203835150002982,0.1002331429957779,1.9289133507545393,10.0,1.0,1.0,2.0,2.0,1.9951577378473513,0.10065970113242292,20.0,0.9999,2
104,True,2.977113246769746,2.6237475157198094,9.094471648520185e-05,5.035033461027664e-09,0.35252472838993076,0.4773303988102292,0.7663186421913827,0.927975672885288,2.0,2.0,2.5237082496978465,0.1,0.5156311326547697,0.9270243369464484,2
105,True,2.7557329144037097,2.802313193919423,0.542133683752227,0.544524004604805,0.4500577998164543,0.31852390515670376,0.7151522854999194,0.705166111935673,2.0,2.0,2.8023130858161998,0.5445240619551717,0.3185241280937698,0.705166141553358,2
106,True,1.5762615998052887,1.621817701275138,1.2455069523088766,1.0906572913849713,0.5987523624899327,1.089397437700525,0.9999999663931236,0.9999999990000532,2.0,2.0,1.621871826548059,1.0906332389066862,1.089427717677239,0.9999,2
107,True,2.6160626920062913,2.3072838978674124,6.136764146389289e-09,0.18199490581410377,0.3303327795521754,0.5507043298446845,1.0,0.9999999999999998,2.0,2.0,2.3073461039423195,0.18199806729224074,0.5506864056334984,0.9999,2
108,True,3.1165651973790514,3.1579039454271083,0.2049957544143247,0.23001674716527434,0.14021998729190202,0.15874884221107138,0.6182692598549732,0.5585691724309962,2.0,2.0,3.1579037575729325,0.23001682549054872,0.15874886917726244,0.5585691476002855,2
109,True,2.0971645912542716,2.098469229827495,0.357341444464393,0.5164410397700013,1.9383761372154764,0.695088198281671,0.9786397068023717,0.9999999982940437,2.0,2.0,2.09852890395781,0.5164368945167581,0.6951065460588576,0.9999,2
110,True,1.969938608749103,1.9933776901477467,0.35465367748588894,0.40273861100801117,2.228624146236454,2.1615962507645916,1.0,1.0,2.0,2.0,1.993437606330772,0.4027331144697806,2.161402836537384,0.9999,2
111,True,1.983884043893026,2.1311076537898437,1.3635384058022289e-11,0.10464297822548158,4.8738450929681205,1.5438455377606333,0.8846687112261684,0.7561294308688106,2.0,2.0,2.1272425791522718,0.1,18.12429989787867,0.7371198357127872,2
112,True,2.3052963729991798,2.1927595787763123,2.9264396487493907e-07,0.1357532636005384,10.0,1.1029882506591913,0.8159185375000241,0.8279135676581265,2.0,2.0,2.1927601324889014,0.13575277957658113,1.1029887070193996,0.8279135202582538,2
113,True,2.6637177892004114,2.8767597976695503,0.5004629361755485,0.5663251577810222,0.2195398541782773,0.30161970184874337,0.4575139413118394,0.3287301949905862,2.0,2.0,2.8767606036248163,0.5663252681446361,0.3016192896894771,0.3287299173654363,2
114,True,2.1811254453257067,3.1557354077430886,0.3703330966749162,0.20619191569609957,0.7925497559564971,1.1444940286364067,0.7061191863424968,0.4043461657536457,2.0,2.0,3.155735942689448,0.20619190532250103,1.144492978086112,0.4043460135946817,2
115,True,2.241045031101897,1.9087359498375478,0.21921906097452848,0.3479250839860497,1.1832631722806601,1.152293742241173,0.6781393849073604,0.988552968614,2.0,2.0,1.9087359429996233,0.3479248299760045,1.152293170799649,0.9885532289688947,2
116,True,2.296051822957738,2.347024002588653,0.7744614145500645,0.8860357197727134,0.2626003895531617,0.2577187892751741,0.9216837472840457,0.9762169927454926,2.0,2.0,2.347023015755157,0.8860358206922007,0.25771845578479874,0.976218066087651,2
117,True,1.4152758287271856,1.6668670800105212,0.6131728156602897,0.659200803537334,0.8228100043429618,0.22624830410494973,0.9999999450865381,0.9999999968661706,2.0,2.0,1.6669381129647833,0.6591731270401302,0.22624093205253074,0.9999,2
118,True,2.6423058554422907,2.6093341481599954,1.3217720748662028e-08,1.4117276105723874e-09,0.19448985442713176,0.4300272341379946,0.7394910880231961,0.6141198194458026,2.0,2.0,2.5065376051281234,0.1,0.46192307269765537,0.6076258652897292,2
119,True,2.3938884017041286,2.2383346515176936,0.19083923059234173,0.14503904684908286,1.027068949649828,1.5629758264142697,0.9697624107722823,1.0,2.0,2.0,2.2383912259198637,0.14504148008098966,1.563062174188946,0.9999,2
